,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,G,PG,PG-13,R,gross
1531,103.0,97.0,10.0,178.0,18000.0,18688,0.0,181.0,33000000.0,2000.0,223.0,5.3,0,0,0,1,28927720.0
4564,18.0,86.0,132.0,584.0,778.0,2400,2.0,32.0,1000000.0,1996.0,695.0,6.8,0,0,0,1,1277257.0
2980,144.0,86.0,378.0,783.0,957.0,3535,0.0,150.0,12000000.0,2006.0,925.0,6.3,0,0,1,0,5542025.0
1940,175.0,111.0,81.0,81.0,3000.0,3784,1.0,145.0,25000000.0,2014.0,571.0,6.0,0,0,0,1,33631221.0
2536,150.0,120.0,11.0,281.0,11000.0,12554,1.0,151.0,16500000.0,2007.0,838.0,7.1,0,1,0,0,18663911.0
218,175.0,110.0,2000.0,636.0,1000.0,4146,0.0,482.0,123000000.0,2000.0,722.0,6.0,0,1,0,0,260031035.0
301,170.0,104.0,14.0,203.0,3000.0,4487,0.0,1690.0,100000000.0,2006.0,762.0,5.1,0,1,0,0,75030163.0
1182,258.0,102.0,20.0,54.0,107.0,362,6.0,153.0,42000000.0,2012.0,81.0,6.6,0,0,1,0,18600911.0
2971,106.0,137.0,102.0,877.0,2000.0,5780,0.0,267.0,107000000.0,2004.0,973.0,6.0,0,0,1,0,22406362.0
225,267.0,123.0,521.0,265.0,13000.0,13752,0.0,297.0,120000000.0,2016.0,365.0,7.1,0,0,1,0,108521835.0
2269,107.0,88.0,190.0,163.0,137000.0,137712,6.0,110.0,27000000.0,2009.0,459.0,5.7,0,0,1,0,15988876.0
1475,248.0,91.0,192.0,346.0,23000.0,24669,0.0,178.0,35000000.0,2012.0,1000.0,6.5,0,0,1,0,20275446.0
1668,450.0,106.0,0.0,273.0,17000.0,18469,0.0,274.0,30000000.0,2013.0,681.0,7.1,0,0,0,1,32154410.0
2495,56.0,123.0,92.0,849.0,1000.0,5306,5.0,64.0,17000000.0,2013.0,886.0,6.7,0,0,0,1,70492685.0
2861,112.0,91.0,13.0,140.0,803.0,1921,0.0,149.0,13000000.0,2014.0,587.0,5.8,0,1,0,0,38916903.0
314,245.0,101.0,420.0,467.0,12000.0,16235,0.0,269.0,100000000.0,2014.0,3000.0,6.0,0,0,1,0,72660029.0
445,125.0,120.0,75.0,3000.0,11000.0,22750,0.0,493.0,75000000.0,1998.0,4000.0,6.1,0,0,1,0,140459099.0
322,266.0,115.0,521.0,95.0,13000.0,13761,1.0,261.0,100000000.0,2010.0,537.0,6.9,0,0,0,1,35024475.0
2577,109.0,112.0,11000.0,642.0,11000.0,12766,0.0,148.0,16000000.0,2002.0,650.0,6.6,0,0,1,0,4839383.0
1369,378.0,150.0,0.0,206.0,10000.0,14296,7.0,420.0,37000000.0,2010.0,4000.0,7.6,0,0,0,1,92173235.0
1554,224.0,98.0,541.0,897.0,8000.0,10938,1.0,383.0,32000000.0,2007.0,912.0,6.4,0,0,0,1,35063732.0
3443,127.0,105.0,248.0,147.0,673.0,1442,1.0,214.0,7500000.0,2002.0,466.0,7.2,0,0,0,1,10460089.0
2806,108.0,98.0,176.0,15.0,543.0,678,3.0,59.0,14000000.0,2006.0,113.0,6.7,0,0,1,0,4291965.0
4091,33.0,109.0,300.0,200.0,729.0,1292,0.0,92.0,3000000.0,1996.0,257.0,6.0,0,0,0,1,4109095.0
3161,144.0,89.0,406.0,759.0,989.0,3462,0.0,621.0,10000000.0,1999.0,939.0,7.8,0,0,0,1,10824921.0
1269,283.0,129.0,335.0,64.0,15000.0,15595,1.0,341.0,40000000.0,2011.0,467.0,6.9,0,0,1,0,31836745.0
1991,31.0,95.0,32.0,324.0,843.0,2165,3.0,26.0,25000000.0,2005.0,593.0,4.1,0,0,1,0,5654777.0
2100,134.0,108.0,24.0,100.0,150.0,540,2.0,21.0,36998505.3,2016.0,104.0,6.4,0,0,0,1,3108216.0
2583,64.0,135.0,133.0,258.0,898.0,2096,0.0,78.0,16000000.0,2005.0,708.0,6.7,0,0,1,0,1666262.0
924,98.0,90.0,176.0,523.0,677.0,2055,1.0,155.0,51000000.0,2006.0,560.0,5.6,0,1,0,0,72601713.0
2439,104.0,109.0,128.0,1000.0,11000.0,14995,0.0,213.0,18000000.0,2001.0,2000.0,6.1,0,0,0,1,13491653.0
336,343.0,105.0,0.0,502.0,2000.0,4671,1.0,322.0,95000000.0,2015.0,520.0,7.0,0,1,0,0,201148159.0
732,121.0,125.0,420.0,627.0,12000.0,16646,1.0,322.0,60000000.0,2000.0,3000.0,6.7,0,0,1,0,75764085.0
296,765.0,165.0,16000.0,265.0,29000.0,40978,1.0,1193.0,100000000.0,2012.0,11000.0,8.5,0,0,0,1,162804648.0
360,181.0,94.0,368.0,466.0,13000.0,15419,0.0,643.0,92000000.0,2000.0,1000.0,5.5,0,0,1,0,125305545.0
4698,25.0,84.0,21.0,48.0,465.0,714,2.0,36.0,650000.0,1997.0,170.0,6.5,0,0,0,1,2301777.0
200,154.0,98.0,189.0,1000.0,49000.0,53587,7.0,126.0,127000000.0,2014.0,3000.0,6.2,0,1,0,0,113733726.0
1313,61.0,84.0,8.0,219.0,545.0,1149,3.0,98.0,40000000.0,2001.0,248.0,5.8,0,0,1,0,4777007.0
268,326.0,114.0,151.0,430.0,11000.0,12908,4.0,554.0,110000000.0,2013.0,635.0,6.7,0,0,1,0,61656849.0
1654,111.0,86.0,82.0,362.0,869.0,3854,0.0,409.0,30000000.0,2008.0,759.0,2.7,0,0,1,0,38232624.0
3459,253.0,118.0,0.0,500.0,18000.0,19879,2.0,73.0,7000000.0,2016.0,860.0,7.0,0,0,0,1,1330827.0
661,156.0,136.0,258.0,94.0,12000.0,12396,0.0,318.0,65000000.0,1998.0,174.0,6.7,0,0,1,0,93771072.0
1963,126.0,110.0,42.0,111.0,355.0,911,2.0,513.0,25000000.0,2004.0,155.0,6.8,0,0,0,1,14589444.0
2145,131.0,120.0,0.0,886.0,1000.0,6212,1.0,79.0,21000000.0,2008.0,901.0,6.1,0,0,1,0,16284360.0
3848,120.0,109.0,0.0,126.0,3000.0,3668,0.0,208.0,4500000.0,1996.0,441.0,7.4,0,0,0,1,3798532.0
282,175.0,127.0,57.0,3000.0,12000.0,29069,1.0,498.0,90000000.0,2000.0,11000.0,6.5,0,0,1,0,101643008.0
628,286.0,115.0,101.0,585.0,13000.0,15708,1.0,279.0,50000000.0,2013.0,1000.0,6.7,0,0,0,1,25121291.0
3621,149.0,106.0,0.0,379.0,17000.0,18947,4.0,93.0,6000000.0,2014.0,1000.0,6.7,0,0,0,1,3588432.0
411,238.0,122.0,0.0,11000.0,14000.0,43499,3.0,288.0,85000000.0,2007.0,13000.0,6.9,0,0,1,0,117144465.0
3732,31.0,109.0,148.0,426.0,2000.0,3843,2.0,209.0,6000000.0,1997.0,434.0,7.3,0,0,0,1,14821531.0
2133,163.0,81.0,406.0,406.0,893.0,3003,1.0,928.0,21000000.0,1999.0,795.0,7.8,0,0,0,1,52008288.0
641,238.0,128.0,0.0,135.0,29000.0,29824,1.0,263.0,70000000.0,2008.0,149.0,7.1,0,0,0,1,39380442.0
1084,454.0,153.0,777.0,1000.0,20000.0,37321,2.0,620.0,46000000.0,2013.0,15000.0,8.1,0,0,0,1,60962878.0
2085,112.0,110.0,99.0,835.0,12000.0,15170,0.0,83.0,22000000.0,2007.0,941.0,6.2,0,1,0,0,90636983.0
121,167.0,89.0,35.0,436.0,1000.0,3285,0.0,119.0,150000000.0,2008.0,851.0,6.7,0,1,0,0,179982968.0
2706,190.0,108.0,187.0,254.0,11000.0,12178,0.0,118.0,16000000.0,2007.0,883.0,6.7,0,0,0,1,9172810.0
2656,274.0,100.0,35.0,306.0,10000.0,11471,1.0,713.0,15000000.0,2007.0,1000.0,7.0,0,0,0,1,28637507.0
13,313.0,151.0,563.0,1000.0,40000.0,48486,2.0,1832.0,225000000.0,2006.0,5000.0,7.3,0,0,1,0,423032628.0
1163,27.0,122.0,0.0,292.0,12000.0,13716,0.0,71.0,42000000.0,1996.0,592.0,6.5,0,0,1,0,41252428.0
4446,387.0,130.0,188.0,1000.0,10000.0,16385,2.0,448.0,60000000.0,2012.0,3000.0,7.0,0,0,1,0,80033643.0
3664,25.0,95.0,17.0,255.0,592.0,2000,6.0,36.0,5600000.0,2006.0,378.0,2.1,0,0,1,0,7009668.0
3503,119.0,122.0,98.0,397.0,729.0,2321,1.0,276.0,7000000.0,2004.0,579.0,6.2,0,0,1,0,6601079.0
3086,43.0,111.0,58.0,258.0,482.0,1526,0.0,111.0,11000000.0,2007.0,362.0,5.8,0,0,0,1,1066555.0
3609,231.0,99.0,0.0,84.0,11000.0,11328,1.0,136.0,5000000.0,2011.0,106.0,6.8,0,0,1,0,9203192.0
164,145.0,121.0,357.0,653.0,820.0,2705,0.0,388.0,135000000.0,2005.0,780.0,5.0,0,0,1,0,31704416.0
2206,293.0,104.0,53.0,652.0,22000.0,33903,0.0,321.0,20000000.0,2008.0,11000.0,7.5,0,0,1,0,33422556.0
3782,248.0,91.0,263.0,192.0,967.0,1582,0.0,144.0,5000000.0,2010.0,289.0,7.0,0,0,1,0,2221809.0
2717,218.0,92.0,11000.0,386.0,860.0,2717,1.0,169.0,15000000.0,2009.0,658.0,7.2,0,0,1,0,5306447.0
4855,51.0,98.0,681.0,13.0,94.0,139,1.0,138.0,250000.0,2002.0,26.0,7.2,0,0,0,1,3799339.0
2856,58.0,84.0,12.0,334.0,1000.0,2297,2.0,84.0,13200000.0,2014.0,345.0,5.6,0,0,1,0,52543632.0
3170,321.0,103.0,207.0,3000.0,40000.0,55175,0.0,374.0,100000000.0,2010.0,11000.0,6.0,0,0,1,0,67631157.0
517,232.0,99.0,101.0,327.0,1000.0,2323,2.0,273.0,80000000.0,2007.0,422.0,5.9,0,0,1,0,15071514.0
2166,253.0,105.0,154.0,501.0,884.0,2287,0.0,491.0,20000000.0,2007.0,617.0,6.9,0,0,1,0,80050171.0
600,160.0,103.0,906.0,748.0,1000.0,6207,0.0,515.0,58000000.0,1998.0,906.0,6.4,0,1,0,0,70117571.0
136,357.0,119.0,394.0,162.0,12000.0,13071,0.0,432.0,150000000.0,2010.0,490.0,5.8,0,0,0,1,61937495.0
241,257.0,98.0,16.0,12000.0,16000.0,43286,3.0,195.0,135000000.0,2013.0,15000.0,7.3,0,1,0,0,187165546.0
4678,5.0,89.0,15.0,95.0,312.0,548,1.0,8.0,36998505.3,2011.0,135.0,7.5,0,0,0,1,7705974.0
2256,377.0,99.0,0.0,59.0,264.0,537,1.0,354.0,20000000.0,2004.0,62.0,7.8,0,0,0,1,17104669.0
1418,83.0,90.0,0.0,945.0,19000.0,23504,0.0,138.0,35000000.0,1997.0,957.0,6.3,0,0,1,0,63826569.0
